RecordKey,IsrcValue,Datestamp
e6bb96b0-4f4f-48d2-b271-27af09e8fc5d,USBB40580289,2021-09-02 20:08:22.652984
8bcf5719-1b78-4783-97d6-982f7f300ff4,USBB40580285,2021-09-02 20:08:22.652984
ec01f003-d2c8-4adb-b9b1-41ee1c394de2,USDJ20300789,2021-09-02 20:08:22.652984
4f1c6190-1446-46e4-a4db-01ebc6b1cc73,USDJ20300859,2021-09-02 20:08:22.652984
e132b604-af55-4952-9b26-cf27471acd0a,USDJ20500141,2021-09-02 20:08:22.652984
b61291ed-6273-4198-b992-8b28bb413db4,USDJ20500123,2021-09-02 20:08:22.652984
6cc02444-d06d-4541-bdc4-ab83192e4ae7,USBB49800303,2021-09-02 20:08:22.652984
1c138e0d-1262-4b2f-854a-721284061bef,USBB40000093,2021-09-02 20:08:22.652984
2061af45-abae-4f06-9013-673cef844bd0,USDJ20300853,2021-09-02 20:08:22.652984
d73936ec-755b-4b61-8687-622f3948d208,USBB10500074,2021-09-02 20:08:22.652984
d73936ec-755b-4b61-8687-622f3948d208,USBB40100005,2021-09-02 20:08:22.652984
1c4508e2-18db-41e5-9182-ac2fb5e59815,USDJ20500125,2021-09-02 20:08:22.652984
f9f77ccc-fd3b-4b1c-af98-be5f708b25cd,USDJ20301244,2021-09-02 20:08:22.652984
9731015e-8cf9-449d-877e-817e5039e343,USDJ20301067,2021-09-02 20:08:22.652984
0e6394b9-c726-4da8-a9c4-36c194428efd,USAR19800519,2021-09-02 20:08:22.652984
92bcd35f-0cb5-4297-8117-c33780222ae0,USBB40580276,2021-09-02 20:08:22.652984
f3b06b0b-9a1f-49de-b3cf-45d88c95192f,USDJ20500127,2021-09-02 20:08:22.652984
36f9db48-cfa3-4c01-bfa0-253cd5510444,USBB49900848,2021-09-02 20:08:22.652984
81f56f59-60d1-421f-ae4f-aa3de4d57e09,USBB40580286,2021-09-02 20:08:22.652984
0c940787-8c7e-4f1f-8b35-b0e7551c5df0,USBB40580293,2021-09-02 20:08:22.652984
28cf6c7d-fa87-4391-a6ca-3c65450b5200,USRH11604415,2021-09-02 20:08:22.652984
4736700f-48d0-4fcf-975d-a0eca31ad4dc,USBB40100004,2021-09-02 20:08:22.652984
4736700f-48d0-4fcf-975d-a0eca31ad4dc,USBB40581358,2021-09-02 20:08:22.652984
4736700f-48d0-4fcf-975d-a0eca31ad4dc,USRH11603413,2021-09-02 20:08:22.652984
04409925-1165-4c78-9b11-1196e17b129d,USBB41400011,2021-09-02 20:08:22.652984
48044834-1851-4075-9fa3-8b471d80b52e,USBB40580382,2021-09-02 20:08:22.652984
5150f78c-ca9c-44ac-9496-88062e83c8c8,USBB41400009,2021-09-02 20:08:22.652984
a63b4c6e-1463-4ddd-a7fa-6a2d1b01c1c1,USBB41400010,2021-09-02 20:08:22.652984
24c00253-7a9e-4412-8d93-675edf73b3c9,USBB41700003,2021-09-02 20:08:22.652984
24de5cae-6303-4f93-8c1d-dac436f8847e,USBB40100006,2021-09-02 20:08:22.652984
24de5cae-6303-4f93-8c1d-dac436f8847e,USBB40581359,2021-09-02 20:08:22.652984
d1f15c6c-698c-4946-b373-256510b27d7a,USBB40580277,2021-09-02 20:08:22.652984
f23eaef2-17c3-4f7e-9ac9-3b516cfbe134,USBB10100038,2021-09-02 20:08:22.652984
f23eaef2-17c3-4f7e-9ac9-3b516cfbe134,USBB10500077,2021-09-02 20:08:22.652984
f23eaef2-17c3-4f7e-9ac9-3b516cfbe134,USBB40100038,2021-09-02 20:08:22.652984
901bc59c-94c1-4b95-a803-cc69a1fef45f,USDJ20300861,2021-09-02 20:08:22.652984
b368b04d-85fd-42e1-9e0a-48bfe5757aae,USAR19800082,2021-09-02 20:08:22.652984
9b871449-7109-42fe-835b-6957a006e25d,USAR19800507,2021-09-02 20:08:22.652984
9b871449-7109-42fe-835b-6957a006e25d,USRH11603451,2021-09-02 20:08:22.652984
88c95656-11ec-4892-8c9d-25c393e115d8,USDJ20300863,2021-09-02 20:08:22.652984
766d6349-4e6e-4b94-8c7f-364703e19f08,USBB40580282,2021-09-02 20:08:22.652984
05c7ddf1-325f-432b-9aca-c8f9f1a7db47,USAT21402742,2021-09-02 20:08:22.652984
e18d9ffb-8bd6-469d-b8b3-acd631723c8a,USAT21402787,2021-09-02 20:08:22.652984
80523593-d36a-4d2f-a052-7b78aa3094d1,USDJ20300855,2021-09-02 20:08:22.652984
bd6fa69d-06d7-467a-8a71-ed884941ad65,USBB10500079,2021-09-02 20:08:22.652984
bd6fa69d-06d7-467a-8a71-ed884941ad65,USBB40100015,2021-09-02 20:08:22.652984
ad772904-74e4-4eb1-9fe8-21e20835a23f,USAR19800508,2021-09-02 20:08:22.652984
eafd0cbd-b857-4f69-8c11-19a51188c057,USAR19800520,2021-09-02 20:08:22.652984
f25d90b5-0618-4bfa-bd7e-34eef83612ec,USAR19800515,2021-09-02 20:08:22.652984
8a9d79c4-a7be-45a2-ba5a-2833c9f5e869,USBB10500083,2021-09-02 20:08:22.652984
8a9d79c4-a7be-45a2-ba5a-2833c9f5e869,USBB40100007,2021-09-02 20:08:22.652984
d81bad82-3e12-4fca-b4f7-b31bea74af27,USBB10500078,2021-09-02 20:08:22.652984
d81bad82-3e12-4fca-b4f7-b31bea74af27,USBB40100019,2021-09-02 20:08:22.652984
ae0111c8-6123-457f-b06f-6109ea2f7204,USDJ20500143,2021-09-02 20:08:22.652984
d8e54a31-2725-4df6-8a10-10dcb69e6ecf,USBB40000094,2021-09-02 20:08:22.652984
cca46b73-7d30-48b4-9e04-2ddc2b9dbef6,USDJ20500145,2021-09-02 20:08:22.652984
d18812d2-dc40-4b58-a247-4e80bf9e6425,USBB40580291,2021-09-02 20:08:22.652984
