id,type,title,language,iswc,disambiguation,datestamp
16f73028-3b03-323d-a31c-d8e8c8b55dfb,Song,You Do It,eng,T-070.212.722-7,,2021-09-01 07:54:18.340746
97603584-61b4-4bf2-a1aa-9aba1f136c66,Song,Rewrite the Stars,eng,,,2021-09-01 07:54:18.340746
cfeb89c5-c330-4c3b-beb1-5886020d31c9,Song,Rockin’ My Life Away,eng,T-070.243.234-5,,2021-09-01 07:54:18.340746
dc688ba7-1770-461c-b945-9cda48571cdf,Song,Stone to the Bone,eng,,,2021-09-01 07:54:18.340746
c70c2243-e270-310f-b1be-f26d36c4b15a,Song,Two out of Three Ain’t Bad,eng,T-070.247.551-1,,2021-09-01 07:54:18.340746
31abd011-457a-4b13-8b8e-aa8c4e55bf96,Song,Ready to Go,eng,T-906.640.576-3,,2021-09-01 07:54:18.340746
0d3b0418-50fb-30fe-9c9a-bff5be7c1ff6,Song,"Bossa Nova, Baby",eng,T-801.321.596-9,,2021-09-01 07:54:18.340746
31cf2427-db03-36d4-9525-ef48de8ef85e,Song,It’s So Easy,eng,T-070.241.292-7,,2021-09-01 07:54:18.340746
3bd9561c-741a-3c30-92ca-2ac6936981f9,Song,Irresponsible Hate Anthem,eng,T-917.955.062-0,,2021-09-01 07:54:18.340746
7da6e3f8-9c36-454d-b03a-a90cdcbc8b3a,Song,The Winning Side,eng,,,2021-09-01 07:54:18.340746
e0fa0947-d718-48cc-b4d0-6710f6d40bda,Song,Rich $ex,eng,T-917.133.753-4,,2021-09-01 07:54:18.340746
7917b2cc-0f4e-3ae6-9560-8376157303a6,Song,Moist Vagina,eng,T-072.735.900-3,,2021-09-01 07:54:18.340746
6d4c45c8-d994-3baa-9c95-521f6b8e0e98,Song,Genie in a Bottle,eng,T-070.895.664-2,,2021-09-01 07:54:18.340746
53b5eef3-693c-408d-a922-cfd54f06a805,Song,The Feeling,eng,T-912.869.940-1,,2021-09-01 07:54:18.340746
e23bb3af-9de3-47e6-9a1e-99a1f6976c6d,Song,I Think That’s What I Believe,eng,,,2021-09-01 07:54:18.340746
0e83c13c-17ff-4a7d-8efd-43b7443a3729,Song,Paradise,eng,T-011.331.928-0,,2021-09-01 07:54:18.340746
